condition,auroc,r2,delta_auroc,delta_r2
pretrained_baseline,0.9260566513749621,0.7139144539833069,0.0,0.0
baseline_retrain,0.9288369400553865,0.7800132632255554,0.0027802886804244586,0.06609880924224854
no_pgc2,0.9296165661034783,0.7720078229904175,0.0035599147285162447,0.058093369007110596
no_s4d,0.9106832123057761,0.7105281352996826,-0.015373439069185979,-0.0033863186836242676
no_primer_enc,0.8980397003839284,0.6003094911575317,-0.02801695099103363,-0.11360496282577515
no_target_enc,0.893721669331708,0.5837889909744263,-0.032334982043254024,-0.13012546300888062
no_fwd_seq,0.9085808304450778,0.6834480166435242,-0.01747582092988431,-0.030466437339782715
no_rev_seq,0.9067746039148437,0.6672141551971436,-0.019282047460118412,-0.04670029878616333
mlp_only,0.8943113973499133,0.5812976360321045,-0.0317452540250488,-0.1326168179512024
ssm_only,0.9200522284148256,0.7659522891044617,-0.00600442296013648,0.052037835121154785
